"코드아이디","코드아이디명","코드","코드명"
CAR_TP_CD,자동차유형(업종)코드,"11",시내버스
CAR_TP_CD,자동차유형(업종)코드,"12",농어촌버스
CAR_TP_CD,자동차유형(업종)코드,"13",마을버스
CAR_TP_CD,자동차유형(업종)코드,"14",시외버스
CAR_TP_CD,자동차유형(업종)코드,"15",고속버스
CAR_TP_CD,자동차유형(업종)코드,"16",전세버스
CAR_TP_CD,자동차유형(업종)코드,"17",특수여객
CAR_TP_CD,자동차유형(업종)코드,"21",일반택시
CAR_TP_CD,자동차유형(업종)코드,"22",개인택시
CAR_TP_CD,자동차유형(업종)코드,"31",일반화물
CAR_TP_CD,자동차유형(업종)코드,"32",개별화물
CAR_TP_CD,자동차유형(업종)코드,"41",비사업용
CAR_TP_CD,자동차유형(업종)코드,"42",안심통학버스
CAR_TP_CD,자동차유형(업종)코드,"51",어린이통학버스
CAR_TP_CD,자동차유형(업종)코드,"98",기타1
CAR_TP_CD,자동차유형(업종)코드,"99",기타2
LDONG_SIDO_CD,시도코드,"0010",서울
LDONG_SIDO_CD,시도코드,"0020",부산
LDONG_SIDO_CD,시도코드,"0030",대구
LDONG_SIDO_CD,시도코드,"0040",인천
LDONG_SIDO_CD,시도코드,"0050",광주
LDONG_SIDO_CD,시도코드,"0060",대전
LDONG_SIDO_CD,시도코드,"0070",울산
LDONG_SIDO_CD,시도코드,"0080",경기
LDONG_SIDO_CD,시도코드,"0090",강원
LDONG_SIDO_CD,시도코드,"0100",충북
LDONG_SIDO_CD,시도코드,"0110",충남
LDONG_SIDO_CD,시도코드,"0120",전북
LDONG_SIDO_CD,시도코드,"0130",전남
LDONG_SIDO_CD,시도코드,"0140",경북
LDONG_SIDO_CD,시도코드,"0150",경남
LDONG_SIDO_CD,시도코드,"0160",제주
LDONG_SIDO_CD,시도코드,"0170",세종
QTR_CD,분기코드,"1","1분기"
QTR_CD,분기코드,"2","2분기"
QTR_CD,분기코드,"3","3분기"
QTR_CD,분기코드,"4","4분기"
SEASON_CD,계절코드,"1",봄
SEASON_CD,계절코드,"2",여름
SEASON_CD,계절코드,"3",가을
SEASON_CD,계절코드,"4",겨울
TMZ_CD,시간대코드,"00","24시~01시"
TMZ_CD,시간대코드,"01","01시~02시"
TMZ_CD,시간대코드,"02","02시~03시"
TMZ_CD,시간대코드,"03","03시~04시"
TMZ_CD,시간대코드,"04","04시~05시"
TMZ_CD,시간대코드,"05","05시~06시"
TMZ_CD,시간대코드,"06","06시~07시"
TMZ_CD,시간대코드,"07","07시~08시"
TMZ_CD,시간대코드,"08","08시~09시"
TMZ_CD,시간대코드,"09","09시~10시"
TMZ_CD,시간대코드,"10","10시~11시"
TMZ_CD,시간대코드,"11","11시~12시"
TMZ_CD,시간대코드,"12","12시~13시"
TMZ_CD,시간대코드,"13","13시~14시"
TMZ_CD,시간대코드,"14","14시~15시"
TMZ_CD,시간대코드,"15","15시~16시"
TMZ_CD,시간대코드,"16","16시~17시"
TMZ_CD,시간대코드,"17","17시~18시"
TMZ_CD,시간대코드,"18","18시~19시"
TMZ_CD,시간대코드,"19","19시~20시"
TMZ_CD,시간대코드,"20","20시~21시"
TMZ_CD,시간대코드,"21","21시~22시"
TMZ_CD,시간대코드,"22","22시~23시"
TMZ_CD,시간대코드,"23","23시~24시"
WEEK_CD,"주중,주말코드","1",주중
WEEK_CD,"주중,주말코드","2",주말
