평가일자,업종코드,분기코드,계절코드,요일코드,과속건수20키로미터초과,장기과속건수,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수,위험운전행동건수,운행거리,생성일시
2020-07-01,11,3,2,4,404850,26,1405623,4062,991162,249722,373125,237844,98736,100488,491962,4357600,7713247,2023-08-01
2020-07-01,12,3,2,4,65490,0,25764,5,36287,14939,28361,18356,7307,2286,11520,210315,519457,2023-08-01
2020-07-01,13,3,2,4,33000,0,277495,162,118259,75243,45898,26019,8537,14320,40754,639687,814490,2023-08-01
2020-07-01,14,3,2,4,115491,0,41039,42,20994,4483,12602,11816,3885,2549,14628,227529,1702374,2023-08-01
2020-07-01,15,3,2,4,17101,2,4186,23,3114,69,2651,1147,1186,159,1860,31498,547260,2023-08-01
2020-07-01,16,3,2,4,302315,0,804318,408,155640,85251,61377,41996,6406,26450,71726,1555887,2783481,2023-08-01
2020-07-01,17,3,2,4,2477,0,3998,0,1550,455,357,403,190,215,782,10427,27829,2023-08-01
2020-07-01,21,3,2,4,1186575,0,2060696,7231,169413,125251,153264,119768,18548,129282,94794,4064822,6118098,2023-08-01
2020-07-01,22,3,2,4,6615,0,5903,18,604,363,415,237,46,405,497,15103,30822,2023-08-01
2020-07-01,31,3,2,4,587234,6,1044072,4799,477961,211858,92460,98059,23500,65192,290696,2895837,8093127,2023-08-01
2020-07-01,32,3,2,4,12096,0,35765,68,15851,2475,2536,2851,424,1351,8754,82171,205381,2023-08-01
2020-07-01,41,3,2,4,2444,0,4927,2,2192,310,507,373,22,185,659,11621,11059,2023-08-01
2020-07-01,42,3,2,4,3013,0,11432,3,2168,1127,884,664,53,182,646,20172,40286,2023-08-01
2020-07-02,11,3,2,5,401047,31,1371974,3569,990351,251498,374376,235877,101107,97978,489129,4316937,7795151,2023-08-01
2020-07-02,12,3,2,5,65422,0,22865,4,35476,13752,27844,17899,7157,2347,12425,205191,518725,2023-08-01
2020-07-02,13,3,2,5,30824,0,265010,167,113332,72660,46759,26702,9198,14249,41932,620833,835437,2023-08-01
2020-07-02,14,3,2,5,114584,0,42405,52,21893,7001,12463,11755,3752,2539,14361,230805,1698525,2023-08-01
2020-07-02,15,3,2,5,16501,2,4526,30,3873,59,2363,1037,1221,158,1634,31404,545855,2023-08-01
2020-07-02,16,3,2,5,308617,0,777504,421,154624,83397,60473,41713,6111,26038,69860,1528758,2786504,2023-08-01
2020-07-02,17,3,2,5,2427,0,4149,3,1752,275,388,403,245,243,888,10773,25642,2023-08-01
2020-07-02,21,3,2,5,1234825,0,2130233,7746,181445,131558,158529,124493,19573,132802,95723,4216927,6202840,2023-08-01
2020-07-02,22,3,2,5,7500,0,5708,20,622,374,404,243,64,394,699,16028,33917,2023-08-01
2020-07-02,31,3,2,5,604416,17,1051095,4864,489281,223712,92456,98836,23231,66181,285027,2939116,8060671,2023-08-01
2020-07-02,32,3,2,5,12753,0,33213,38,14216,2677,2253,2557,352,1222,8421,77702,194748,2023-08-01
2020-07-02,41,3,2,5,2805,0,5583,2,2398,325,557,422,29,226,831,13178,13017,2023-08-01
2020-07-02,42,3,2,5,2963,0,10640,0,2014,945,841,622,47,209,664,18945,40872,2023-08-01
2020-07-03,11,3,2,6,378363,24,1420715,3996,941210,242688,358311,228071,98339,98740,493788,4264245,7780342,2023-08-01
2020-07-03,12,3,2,6,63763,0,25706,6,32778,12516,28435,17809,7291,2460,12601,203365,525518,2023-08-01
2020-07-03,13,3,2,6,30314,0,264908,149,111422,73192,44246,25013,8587,14109,40776,612716,818246,2023-08-01
2020-07-03,14,3,2,6,110964,2,45205,74,21725,6565,12453,11223,3932,2736,15680,230559,1767781,2023-08-01
2020-07-03,15,3,2,6,16005,0,5127,33,4542,68,2707,980,1286,217,1999,32964,578210,2023-08-01
2020-07-03,16,3,2,6,305553,0,801615,476,154072,82037,60364,41410,6513,26967,72568,1551575,2946106,2023-08-01
2020-07-03,17,3,2,6,2398,0,4183,6,1728,551,312,408,183,258,919,10946,26685,2023-08-01
2020-07-03,21,3,2,6,1184904,0,2155401,7667,168381,130273,155675,123390,19089,137963,101543,4184286,6488669,2023-08-01
2020-07-03,22,3,2,6,8257,0,6464,27,644,394,551,316,72,477,646,17848,36413,2023-08-01
2020-07-03,31,3,2,6,575741,3,1058824,4623,491474,228549,91599,96453,22502,66536,283714,2920018,7842288,2023-08-01
2020-07-03,32,3,2,6,12632,0,36076,63,16741,3353,2365,2643,352,1534,8137,83896,206722,2023-08-01
2020-07-03,41,3,2,6,2317,0,5465,3,2213,261,538,452,21,173,498,11941,11925,2023-08-01
2020-07-03,42,3,2,6,2900,0,10585,1,1822,1034,821,599,48,163,653,18626,38668,2023-08-01
