운행일자,운수회사코드,자동차등록번호,사업자등록번호,차대번호,자동차유형코드,운행기록장치모델명,자료제출일시,접수번호,수집파일코드,시동ON일시,시동OFF일시,시작GPS X좌표,시작GPS Y좌표,종료GPS X좌표,종료GPS Y좌표,TRIP운행거리,누적운행거리,평균운행속도,최고속도,TRIP운행시간,장기운행유무,운행중정지건수,운행중정지시간,운행중정지비율,운행중주행시간,제동건수,제동시간,최고RPM,평균RPM,2000RPM초과시간,2500RPM초과시간,공회전건수,공회전시간,과속건수20Km초과,과속시간20Km초과,과속건수25Km초과,과속시간25Km초과,과속건수30Km초과,과속시간30Km초과,과속건수35Km초과,과속시간35Km초과,과속건수40Km초과,과속시간40Km초과,과속건수45Km초과,과속시간45Km초과,과속건수50Km초과,과속시간50Km초과,과속건수55Km초과,과속시간55Km초과,과속건수60Km초과,과속시간60Km초과,장기과속건수,장기과속시간,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수,중립기어건수,중립기어시간,운수회사소재지코드
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,d87a8bc0423ef02f6fe5528d95e2a70de1990c7b3a416812658467ec379798dd,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,0,0,0,0,299,431844,17.82,57,60419,1,832,19100,31.61,41319,0,0,1620,924,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,71eadb1160872142105a91d2277ec4eb8630f125e87e42303eb3e24f03c527e6,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.911835,37.518166,126.79949,37.576862,286,402323,18.26,62,56393,1,818,17071,30.27,39322,0,0,1592,931,0,0,0,0,5,27,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,26,12,0,8,19,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,a42403dcb7e320b01570c5a2646de6670df7cf0d7b1ae9a08115c6a9425ac1ab,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79705,37.57799,126.799446,37.576813,311,443480,17.96,61,62325,1,834,18339,29.42,43986,0,0,1606,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,9,2,6,31,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,dc89f701c3ccca7ce0005f1f9eab8bd92929c0c1f9680d2ef3aa36eb19aaab02,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.860954,37.55271,126.8365,37.559002,215,111809,14.08,48,54970,1,754,16457,29.94,38513,0,0,1780,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,7d7ce8fd438723d7f6be1a0b591d4dc3f3acd28fc19de91e38ed1bab25024f36,***81*****,KMJTA18G,11,"DT-202,5.07.17",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.89614,37.541107,126.85517,37.561382,250,230163,16.17,57,55673,1,697,16219,29.13,39454,0,0,1720,780,0,0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,15,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,259e63911affad59ba798462bac9800da5336f167f489a7ae1b9b9c73bb3cfa4,***81*****,KMJTA18G,11,"DT-201A,4.04.54,K",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79821,37.57676,126.864914,37.55111,266,428920,16.82,62,56933,1,713,15464,27.16,41469,0,0,1709,820,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,9,4,0,11,1,12,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,62f1e38b6bd9cf3a81d0cb42b2f98bac344b9055248fecbcdbbbb9cee5fb82c4,***81*****,KMJTA18G,11,"DT-201A,4.04.54,K",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79816,37.576687,126.89597,37.541286,262,432548,16.02,57,58880,1,662,16305,27.69,42575,0,0,1822,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,3,1,13,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,2a355e9fcb1e7e08966f9cd15c878d80f9e376f313bf3b4fab5f212bcf2276a4,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79896,37.576878,126.798096,37.576744,248,226343,16.83,55,53056,1,711,13889,26.18,39167,0,0,1680,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,7,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,ee7259032650465035f8383107e60d81341ae8396dd01fc7c626af16aec9a470,***81*****,KMJTA18G,11,"DT-201A,4.04.54,K",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.798164,37.57676,126.79818,37.57675,249,382584,16.31,57,54976,1,685,15533,28.25,39443,0,0,2100,733,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,0,12,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,b708a22a44a784b465c2c0342e4c3c637348644628d9ec53a394638a3dc5e6b4,***81*****,KMJTA18G,11,"DT-202,5.07.17",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.798515,37.57642,126.798584,37.576496,236,320108,15.57,64,54584,1,809,15750,28.85,38834,0,0,1700,874,0,0,1,62,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,3,2,6,0,0,1150011000
