운행기록데이터 바디 항목,일일주행거리(KM),누적운행거리(KM),정보발생일시,운행속도(KMH),RPM,브레이크신호,시작GPS(X좌표),시작GPS(Y좌표),GPS방위각,가속도 Vx,가속도 Vy,통신상태코드,운행지역코드
운행기록데이터 바디,7,97703,2025020608272200,43,1059,1,126889400,37652552,257,-1.2,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608272300,41,1000,1,126889272,37652532,256,-1.2,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608272400,39,921,1,126889160,37652508,254,-3.1,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608272500,37,846,1,126889056,37652484,253,-3.1,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608272600,34,746,1,126888960,37652460,252,-1.8,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608272700,31,669,1,126888880,37652444,253,-1.8,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608272800,27,673,1,126888808,37652424,252,-1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608272900,23,663,1,126888752,37652408,254,-1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273000,20,657,1,126888712,37652400,254,-1.2,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608273100,17,656,1,126888680,37652392,255,-1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273200,14,652,1,126888648,37652380,254,-1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273300,11,651,1,126888632,37652376,251,-0.6,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273400,9,651,1,126888616,37652372,251,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273500,7,655,1,126888608,37652368,251,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273600,6,654,0,126888600,37652364,251,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273700,5,650,0,126888600,37652364,251,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608273800,4,693,0,126888600,37652364,251,2.5,0.0,0,4128111100
운행기록데이터 바디,7,97703,2025020608273900,3,613,0,126888600,37652364,251,2.5,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608274000,3,861,0,126888600,37652364,251,2.5,0.0,0,4128111100
운행기록데이터 바디,7,97703,2025020608274100,4,945,0,126888600,37652364,251,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608274200,6,791,0,126888600,37652364,251,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608274300,9,818,0,126888504,37652356,259,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608274400,12,972,0,126888448,37652344,253,1.8,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608274500,16,995,0,126888392,37652328,245,1.2,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608274600,19,978,0,126888328,37652300,236,1.8,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608274700,20,980,0,126888280,37652264,222,-1.2,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608274800,20,986,0,126888248,37652220,208,1.2,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608274900,21,923,1,126888224,37652172,194,-1.8,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608275000,20,799,1,126888208,37652120,182,2.5,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608275100,19,859,0,126888200,37652072,174,2.5,-3.1,0,4128111100
운행기록데이터 바디,7,97703,2025020608275200,18,984,0,126888208,37652028,168,2.5,-3.1,0,4128111100
운행기록데이터 바디,7,97703,2025020608275300,19,1100,0,126888216,37651980,163,3.1,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608275400,21,1222,0,126888240,37651928,156,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608275500,23,1337,0,126888264,37651872,153,2.5,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608275600,26,1390,0,126888296,37651812,152,3.1,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608275700,28,1100,0,126888328,37651748,159,1.8,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608275800,29,862,0,126888352,37651688,161,1.8,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608275900,29,823,0,126888392,37651640,157,2.5,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608280000,30,833,0,126888424,37651576,156,1.8,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608280100,31,810,1,126888472,37651508,155,1.2,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608280200,31,749,1,126888512,37651444,153,-1.2,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608280300,30,713,1,126888552,37651372,152,-1.2,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608280400,28,682,1,126888584,37651308,153,-1.8,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608280500,25,663,1,126888608,37651256,156,-1.8,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608280600,22,656,1,126888632,37651204,157,-1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608280700,18,653,1,126888648,37651164,156,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608280800,15,650,1,126888664,37651140,154,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608280900,13,651,0,126888680,37651124,152,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281000,11,649,1,126888688,37651104,155,-1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281100,9,650,1,126888704,37651096,157,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281200,8,649,1,126888720,37651092,148,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281300,5,649,1,126888728,37651092,148,1.8,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281400,2,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281500,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
