안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,안전표지구분,안전표지종별일련번호,주행제한속도,안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
1008,일반국도,42호,영릉로,1,1,7,,,경기도 여주시 창동 179-3,37.29041823,127.6316558,2,224,50,최고속도제한표지,3,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10088,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 49-2,37.25442739,127.7119077,1,112,,좌로굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10087,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 49-2,37.25442739,127.7119077,2,224,40,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10086,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 123-1,37.25412561,127.7102646,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10085,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 125-5,37.25384017,127.7084344,2,224,40,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10084,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 125-5,37.25384017,127.7084344,1,113,,우좌로이중굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10083,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 126-8,37.25370925,127.7077401,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10082,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 112-1,37.25338557,127.7066005,3,322,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10081,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 108,37.25322018,127.7058213,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10080,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 108,37.25322018,127.7058213,1,132,,횡단보도표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10079,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 108,37.25322018,127.7058213,1,114,,좌우로이중굽은도로표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
1007,일반국도,42호,영릉로,1,1,7,,,경기도 여주시 창동 179-3,37.29041823,127.6316558,3,315,,진행방향별통행구분표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10078,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 108,37.25322018,127.7058213,2,224,40,최고속도제한표지,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
10077,기타,강천212,적금리길,2,1,2,,,경기도 여주시 강천면 적금리 249-6,37.25339746,127.7041034,1,129,,과속방지턱,1,N,,경기도 여주시청,031-887-2623,2025-12-22,5700000,경기도 여주시
